parent code,code,parent class name,class name,vgb class name
XQR,XQR10,corrosion protection,"cathodic protection, sacrificial",not specified
XQR,XQR20,corrosion protection,"cathodic protection, impressed current",not specified
XQR,XQR30,corrosion protection,miscellaneous corrosion protection,not specified
XQ,XQS,other ancillary systems,drains,- available for use -
XQS,XQS10,drains,open drain system - non-hazardous,not specified
XQS,XQS20,drains,open drain system - hazardous,not specified
XQS,XQS30,drains,closed drains,not specified
XQS,XQS40,drains,surface water catchment and drainage,not specified
XQ,XQT,other ancillary systems,training simulators and emulators,- available for use -
XQT,XQT10,training simulators and emulators,facility/plant simulator,not specified
XQT,XQT20,training simulators and emulators,subsea simulator,not specified
XQT,XQT30,training simulators and emulators,facility/plant emulator,not specified
X,XS,ancillary systems,safety services for installations and persons,Safety services for installations and persons
XS,XSA,safety services for installations and persons,access control,Access control system
XS,XSB,safety services for installations and persons,surveillance / closed circuit monitoring (cctv),Video monitoring system
XS,XSC,safety services for installations and persons,intruder detection,Intrusion detection system
XS,XSD,safety services for installations and persons,obstacle warning systems,Obstruction waming systems
XSD,XSD11,obstacle warning systems,obstacle warning system aviation,Aviation obstruction marking
XSD,XSD12,obstacle warning systems,obstacle warning system marine,Seafaring obstruction marking
XSD,XSD13,obstacle warning systems,sonar system,not specified
XS,XSE,safety services for installations and persons,systems for rescue and safety of persons,Systems for rescue and safety of persons
XS,XSQ,safety services for installations and persons,safety equipment,- available for use -
XS,XSS,safety services for installations and persons,safety signage,- available for use -
X,XU,ancillary systems,sanitary waste water systems,Sanitary waste water systems
XU,XUA,sanitary waste water systems,sewage,Central sanitary waste water system
system,Y,system class,communication and information systems,Communication and information systems
Y,YA,communication and information systems,communications systems,Communications systems
YA,YAA,communications systems,telephone/personal access exchange system (pabx),Telephone system
YA,YAB,communications systems,marine communications,Radiotelephone system
YAB,YAB10,marine communications,"marine radios, gmdss",not specified
YAB,YAB20,marine communications,"radios, vhf/uhf",not specified
YAB,YAB30,marine communications,local ship to facility communications,not specified
YAB,YAB40,marine communications,satellite communication system (vsat),not specified
YA,YAQ,communications systems,automated terminal information service (atis),- available for use -
YA,YAR,communications systems,site communications and local networks,- available for use -
YA,YAS,communications systems,field communications,- available for use -
YAS,YAS10,field communications,microwave radio communication systems,not specified
YAS,YAS20,field communications,backbone network (ibr network & system uk),not specified
YAS,YAS30,field communications,fibre optic,not specified
Y,YB,communication and information systems,information systems,Information systems
YB,YBC,information systems,system for acquisition of environmental data,System for acquisition of environmental data
YBC,YBC10,system for acquisition of environmental data,meteocean observation system,not specified
YBC10,YBC11,meteocean observation system,lidar wind speed measurement,not specified
YBC,YBC20,system for acquisition of environmental data,geological/seabed measurement system ,not specified
YBC,YBC30,system for acquisition of environmental data,hydrological measurement system ,not specified
YBC,YBC40,system for acquisition of environmental data,flora measurement system ,not specified
YBC,YBC50,system for acquisition of environmental data,fauna measurement system ,not specified
YB,YBQ,information systems,vessel tracking and management system (vtms),- available for use -
YB,YBR,information systems,"computing systems equipment (pcs, printers, servers)",- available for use -
YB,YBS,information systems,marine radar and arpas,- available for use -
Y,YC,communication and information systems,it networks,IT network
YC,YCQ,it networks,local area network communication (lan),- available for use -
YC,YCR,it networks,wifi,- available for use -
YC,YCS,it networks,4g/5g system,- available for use -
YC,YCT,it networks,voice and data network,- available for use -
system,Z,system class,structures and areas for systems outside of the power plant process,Structures and areas for systems outside of the power plant process
Z,ZQ,structures and areas for systems outside of the power plant process,infrastructure,- available for use -
Z,ZU,structures and areas for systems outside of the power plant process,other buildings,- available for use -
ZU,ZUA,other buildings,harbor building,- available for use -
Z,ZV,structures and areas for systems outside of the power plant process,structures and surfaces for storage of material and goods,Structures and surfaces for storage of material and goods
ZV,ZVA,structures and surfaces for storage of material and goods,warehouse building,Structure for storage of spare and wearing parts
Z,ZW,structures and areas for systems outside of the power plant process,administrative and staff amenity buildings or structures,Structures for administrative tasks or staff amenities
ZW,ZWA,administrative and staff amenity buildings or structures,"office building, administration building","Office building, administration building"
ZW,ZWB,administrative and staff amenity buildings or structures,training facility,Training facility
ZW,ZWC,administrative and staff amenity buildings or structures,staff amenities building,Staff amenities building
ZW,ZWG,administrative and staff amenity buildings or structures,accomodation building or area,"Residential building, residential area"
Z,ZY,structures and areas for systems outside of the power plant process,structures for communications and information,Structures for communications and information
ZY,ZYB,structures for communications and information,structure for acquisition of environmental data,Structure for acquisition of environmental data
Z,ZZ,structures and areas for systems outside of the power plant process,onshore infrastructure,"Structures and surfaces for conveyance and traffic, fencing, gardens and other purposes"
ZZ,ZZA,onshore infrastructure,roads/access,"Works roadway, path"
ZZ,ZZC,onshore infrastructure,parking area incl. associated structures,Parking area incl. associated structures
ZZ,ZZK,onshore infrastructure,"laydown areas (permanent, construction, etc.)",Yards
ZZ,ZZL,onshore infrastructure,fencing and gate system,Fencing and gate system
ZZ,ZZN,onshore infrastructure,"outdoor areas, plots of land","Outdoor areas, plots of land"
ZZ,ZZR,onshore infrastructure,bunds (for containment),- available for use -
ZZ,ZZS,onshore infrastructure,"civil-utilities structures (catch basins, manholes, etc.)",- available for use -
ZZ,ZZT,onshore infrastructure,"jetty, bulkheads, and wharves",- available for use -
ZZ,ZZU,onshore infrastructure,"helipads, runways, taxiways",- available for use -
ZZ,ZZW,onshore infrastructure,site preparation & grading ,Structure for site preparation and setup
